Name,Latitude,Longitude,State,Country,Operational Status
Cape Cod Air Station,41.7536642401,-70.539124869,Massachusetts,United States,Active
Norwalk 2,33.8931849532,-118.070170962,California,United States,Active
Atlantic City IAP,39.4481861918,-74.5814031458,New Jersey,United States,Active
Yeager Airport,38.3731944221,-81.5895194077,West Virginia,United States,Active
NG Atlanta - Confederate Ave,33.7222321357,-84.358887856,Georgia,United States,Active
NG Collegeville FMS 4,40.2146157734,-75.4284194801,Pennsylvania,United States,Active
NG Buckeye TS,33.4645500341,-112.601760483,Arizona,United States,Active
NG Oglethorpe Armory,33.6173832012,-84.309923744,Georgia,United States,Active
NG River Road Training Site,39.6334303612,-75.6070696877,Delaware,United States,Active
NG Edgemeade TS Mtn Home,43.1442443568,-115.652542493,Idaho,United States,Active
NG Norman CSMS,35.2643197322,-97.480057288,Oklahoma,United States,Active
NG Westminster Training Site,43.0858827247,-72.4513120197,Vermont,United States,Active
NG VTS Catoosa,34.9312156533,-85.0590610783,Georgia,United States,Active
NG VTS Smyrna,36.0180985881,-86.5036120259,Tennessee,United States,Active
NG Saint George/FMS 5B,37.0337681833,-113.547140891,Utah,United States,Active
NAF El Centro,32.8253936819,-115.668153219,California,United States,Active
OLF Whitehouse,30.3562317642,-81.8711131789,Florida,United States,Active
Naval Support Activity Orlando,28.5841677574,-81.1967624389,Florida,United States,Active
George AFB,34.5852155946,-117.373249538,California,United States,Inactive
NSA South Potomac,38.3398584637,-77.0325546791,Virginia,United States,Active
Grand Forks AFB,47.9545695614,-97.3916932722,North Dakota,United States,Active
Ozol Defense Fuel Support Point,38.0259039103,-122.16702561,California,United States,Active
Fort Hunter Liggett,35.9554065709,-121.253769516,California,United States,Active
Fort Riley,39.1866803598,-96.8208663239,Kansas,United States,Active
Stinson 5AB Stagefield AL,31.359582043,-86.0139459687,Alabama,United States,Active
Dugway Proving Ground,40.1545151653,-113.284084389,Utah,United States,Active
Rivanna Station,38.1554946642,-78.4136946349,Virginia,United States,Active
Fort Drum,44.1248120384,-75.5920674235,New York,United States,Active
US Army Soldier Systems Center Natick,42.2895101722,-71.3633494213,Massachusetts,United States,Active
Lone Star AAP (BRAC 2005),33.402984165,-94.2554165694,Texas,United States,Inactive
Rocky Mountain Arsenal,39.8434493746,-104.839363783,Colorado,United States,Inactive
Yermo Area,34.8905585366,-116.870241242,California,United States,Active
Craney Island,36.8887856719,-76.3605553448,Virginia,United States,Active
Naval Weapons Station Yorktown,37.2448033923,-76.5855659537,Virginia,United States,Active
JEBLCFS East,36.9231148685,-76.0174690076,Virginia,United States,Active
Creech AFB,36.6512553805,-115.640007706,Nevada,United States,Active
Malmstrom AFB,47.5059106291,-111.182777387,Montana,United States,Active
Minot AFB,48.4210623214,-101.338350153,North Dakota,United States,Active
USAF Academy,38.9946516318,-104.857157781,Colorado,United States,Active
Isabela Puerto Rico,18.4637645502,-67.0658346043,Puerto Rico,Puerto Rico,Active
Little Rock AFB,34.9040005265,-92.1384692754,Arkansas,United States,Active
Bellows,21.3636803488,-157.710220122,Hawaii,United States,Active
Luke AFB,33.5362891829,-112.374183665,Arizona,United States,Active
Jackson IAP Thompson Field,32.3244710273,-90.0826770417,Mississippi,United States,Active
Otis ANG Base,41.6461510573,-70.5337300198,Massachusetts,United States,Active
Rickenbacker,39.8128368963,-82.9437124972,Ohio,United States,Active
Selfridge ANGB,42.6124987986,-82.8324160105,Michigan,United States,Active
